Title,Published_date,Views,Likes,Favourite,Comments,Year
AG giddem Wahala ğŸš€ğŸŒ #wahala #alusawhyareyoutopless #wahalachallenge,2024-08-13T07:00:23Z,2207,222,0,6,2024
WAHALA OUT NOW ğŸš€ğŸŒ #wahala #alusawhyareyoutopless #wahalachallenge,2024-08-08T16:15:46Z,76422,815,0,9,2024
"Bien, Adenkule  Gold and ShineTTW - Wahala (Official  Music Video)",2024-08-01T13:00:08Z,1808598,25687,0,1374,2024
WahalağŸš€ğŸŒ #wahala #alusawhyareyoutopless #wahalachallenge #baldman,2024-07-24T13:20:38Z,280467,8294,0,43,2024
"Bien, Wretch 32 & Sons of Sonix - Finally (Official Audio)",2024-07-19T05:00:08Z,41179,1222,0,78,2024
Bien & Prince Indah - Duniya (Official Audio),2024-07-19T05:00:08Z,185716,5711,0,516,2024
Bien & Rayvanny - Rakata (Official Audio),2024-07-19T05:00:07Z,153388,5930,0,336,2024
"Bien, Adekunle Gold and ShineTTW - Wahala (Official Audio)",2024-07-19T05:00:07Z,415034,8444,0,543,2024
Bien - Alusa Why Are You Topless (Deluxe Album) Listening Party,2024-07-18T18:15:06Z,111131,2521,0,169,2024
Bien ft. Breeder LW - Maandamano (Lyric Visualizer),2024-07-08T13:00:21Z,1352583,36347,0,2621,2024
Today at KAMP Recieving my cheque as the most streamed kenyan artist ğŸ‘¨â€ğŸ¦²#bien,2024-06-11T14:01:04Z,15310,803,0,21,2024
The thingâ€™s happening to me now are Divine ğŸ‡°ğŸ‡ª X ğŸ‡¨ğŸ‡©. #bien #Macherieremixchallenge,2024-06-06T13:30:49Z,15179,879,0,14,2024
Which country has the best waistline ? Rep your flag ğŸ‡°ğŸ‡ª X ğŸ‡¨ğŸ‡©#macherieremixchallenge #bien,2024-06-05T15:51:45Z,32820,1979,0,60,2024
Bien & Fally Ipupa - Ma Cherie (Remix) (Official Music Video),2024-06-05T13:00:07Z,927999,31428,0,1819,2024
Bien & Fally Ipupa - Ma Cherie (Remix) (Official Audio),2024-06-05T06:39:46Z,49520,3697,0,315,2024
Have you switched on the notification ?ğŸ”” ğŸ‡°ğŸ‡ª X ğŸ‡¨ğŸ‡©. #bien,2024-06-04T15:40:58Z,10992,1144,0,36,2024
Bien - Sex & Marijuana (Official Music Video) Ft Ms Banks,2024-05-09T13:00:07Z,760971,14007,0,610,2024
Bien - A Student (Official Visualizer),2024-01-08T08:00:11Z,734215,14683,0,736,2024
